Date,Open,High,Low,Close,Adj Close,Volume
2019-05-16,975.000000,981.900024,974.400024,980.349976,980.349976,1102886
2019-05-17,983.950012,989.950012,978.000000,981.799988,981.799988,576196
2019-05-20,986.500000,986.950012,978.150024,980.049988,980.049988,296040
2019-05-21,980.099976,985.799988,978.450012,980.099976,980.099976,228946
2019-05-22,981.299988,985.400024,974.000000,981.900024,981.900024,383461
2019-05-23,981.000000,985.000000,977.099976,979.849976,979.849976,592384
2019-05-24,984.500000,985.799988,978.299988,980.049988,980.049988,2695448
2019-05-27,982.000000,984.700012,977.049988,979.599976,979.599976,437247
2019-05-28,980.900024,981.900024,977.099976,980.099976,980.099976,577034
2019-05-29,982.000000,986.950012,979.049988,980.099976,980.099976,458072
2019-05-30,980.000000,984.400024,979.099976,980.099976,980.099976,181776
2019-05-31,980.400024,985.000000,975.049988,977.900024,977.900024,393429
2019-06-03,979.400024,985.599976,974.349976,981.250000,981.250000,312732
2019-06-04,981.400024,981.400024,967.299988,971.799988,971.799988,851558
2019-06-06,971.599976,977.200012,964.200012,965.150024,965.150024,490872
2019-06-07,965.599976,971.700012,963.750000,969.549988,969.549988,183492
2019-06-10,973.200012,980.000000,970.549988,975.500000,975.500000,590097
2019-06-11,976.900024,979.500000,972.150024,978.549988,978.549988,253262
2019-06-12,977.099976,979.900024,972.650024,975.000000,975.000000,988432
2019-06-13,974.900024,978.000000,970.099976,974.799988,974.799988,259706
2019-06-14,975.400024,975.599976,970.049988,971.099976,971.099976,323181
2019-06-17,970.099976,972.500000,965.599976,969.200012,969.200012,354367
2019-06-18,969.400024,975.700012,966.900024,973.099976,973.099976,298457
2019-06-19,973.099976,973.099976,969.099976,971.549988,971.549988,130141
2019-06-20,971.000000,975.000000,970.000000,974.500000,974.500000,390441
2019-06-21,974.000000,974.000000,966.049988,968.500000,968.500000,1013113
2019-06-24,968.099976,968.400024,957.099976,964.099976,964.099976,1108671
2019-06-25,962.099976,962.799988,943.000000,952.450012,952.450012,766496
